[Header]
LogId=4
InstrumentId=1
Time=04/09/2024 11:02:33
InstrumentFirmware=V5.01
Latitude=43.818300
Longitude=15.246600
SvWaterThreshold=0.000000
CndWaterThreshold=0.000000
PrsWaterThreshold=0.000000
SoundInc=0.000000
UsePressureOffset=False
BatteryShutdownVoltage=0.00
BatteryWarningVoltage=0.00
Filename=026051_2024-09-04_11-02-33.csv
IsNew=False
HasErrors=False
IsInDesignMode=False
[MeasurementMetadata]
Columns=Date,Time,Conductivity,Temperature,Pressure,Battery,Salinity,Density,SVCalculated,Depth
Units=yyyy-mm-dd,hh:mm:ss.ss,mS/cm,°C,dBar,V,PSU,kg/cm^3,mS/cm,m
[MeasurementData]
2024-09-04,11:02:35.02,57.791000000,25.871000000,0.000000000,8.070000000,37.797000000,1025.186000000,1539.480000000,0.000000000
2024-09-04,11:02:35.52,57.961000000,25.890000000,0.190000000,8.070000000,37.907000000,1025.264000000,1539.640000000,0.190000000
2024-09-04,11:02:36.02,57.938000000,25.861000000,0.440000000,8.070000000,37.914000000,1025.279000000,1539.590000000,0.440000000
2024-09-04,11:02:36.52,57.947000000,25.862000000,0.680000000,8.070000000,37.920000000,1025.284000000,1539.600000000,0.670000000
2024-09-04,11:02:37.02,57.937000000,25.838000000,0.900000000,8.070000000,37.932000000,1025.302000000,1539.560000000,0.890000000
2024-09-04,11:02:37.52,57.894000000,25.779000000,1.110000000,8.070000000,37.950000000,1025.335000000,1539.450000000,1.100000000
2024-09-04,11:02:38.02,57.879000000,25.754000000,1.290000000,8.070000000,37.959000000,1025.351000000,1539.400000000,1.280000000
2024-09-04,11:02:38.52,57.861000000,25.724000000,1.450000000,8.070000000,37.971000000,1025.370000000,1539.350000000,1.440000000
2024-09-04,11:02:39.02,57.875000000,25.737000000,1.520000000,8.070000000,37.970000000,1025.366000000,1539.380000000,1.510000000
2024-09-04,11:02:39.52,57.881000000,25.736000000,1.570000000,8.070000000,37.975000000,1025.370000000,1539.380000000,1.560000000
2024-09-04,11:02:40.02,57.841000000,25.699000000,1.660000000,8.070000000,37.976000000,1025.383000000,1539.300000000,1.650000000
2024-09-04,11:02:40.52,57.818000000,25.677000000,1.860000000,8.070000000,37.978000000,1025.392000000,1539.250000000,1.850000000
2024-09-04,11:02:41.02,57.797000000,25.652000000,2.150000000,8.070000000,37.983000000,1025.404000000,1539.200000000,2.130000000
2024-09-04,11:02:41.52,57.774000000,25.621000000,2.400000000,8.070000000,37.991000000,1025.422000000,1539.140000000,2.380000000
2024-09-04,11:02:42.02,57.786000000,25.634000000,2.430000000,8.070000000,37.990000000,1025.417000000,1539.170000000,2.410000000
2024-09-04,11:02:42.52,57.769000000,25.606000000,2.490000000,8.070000000,38.001000000,1025.434000000,1539.120000000,2.470000000
2024-09-04,11:02:43.02,57.656000000,25.466000000,2.670000000,8.070000000,38.033000000,1025.503000000,1538.830000000,2.650000000
2024-09-04,11:02:43.52,57.593000000,25.381000000,2.880000000,8.070000000,38.058000000,1025.549000000,1538.660000000,2.860000000
2024-09-04,11:02:44.02,57.599000000,25.395000000,3.010000000,8.070000000,38.050000000,1025.539000000,1538.690000000,2.990000000
2024-09-04,11:02:44.52,57.587000000,25.387000000,3.180000000,8.070000000,38.048000000,1025.541000000,1538.670000000,3.150000000
2024-09-04,11:02:45.02,57.571000000,25.365000000,3.300000000,8.070000000,38.055000000,1025.553000000,1538.630000000,3.270000000
2024-09-04,11:02:45.52,57.578000000,25.372000000,3.330000000,8.070000000,38.054000000,1025.550000000,1538.640000000,3.300000000
2024-09-04,11:02:46.02,57.570000000,25.361000000,3.460000000,8.070000000,38.057000000,1025.557000000,1538.620000000,3.430000000
2024-09-04,11:02:46.52,57.561000000,25.348000000,3.630000000,8.070000000,38.061000000,1025.565000000,1538.600000000,3.600000000
2024-09-04,11:02:47.02,57.542000000,25.320000000,3.840000000,8.070000000,38.070000000,1025.581000000,1538.540000000,3.810000000
2024-09-04,11:02:47.52,57.553000000,25.324000000,4.040000000,8.070000000,38.076000000,1025.585000000,1538.560000000,4.010000000
2024-09-04,11:02:48.02,57.551000000,25.325000000,4.050000000,8.070000000,38.073000000,1025.582000000,1538.560000000,4.020000000
2024-09-04,11:02:48.52,57.213000000,25.323000000,4.010000000,8.070000000,37.822000000,1025.393000000,1538.290000000,3.980000000
2024-09-04,11:02:49.02,57.550000000,25.325000000,3.970000000,8.070000000,38.073000000,1025.582000000,1538.560000000,3.940000000
2024-09-04,11:02:49.52,57.543000000,25.322000000,4.050000000,8.070000000,38.070000000,1025.581000000,1538.550000000,4.020000000
2024-09-04,11:02:50.02,57.536000000,25.311000000,4.240000000,8.070000000,38.074000000,1025.589000000,1538.530000000,4.210000000
2024-09-04,11:02:50.52,57.537000000,25.312000000,4.300000000,8.070000000,38.074000000,1025.588000000,1538.540000000,4.270000000
2024-09-04,11:02:51.02,57.539000000,25.315000000,4.300000000,8.070000000,38.073000000,1025.586000000,1538.540000000,4.270000000
2024-09-04,11:02:51.52,57.527000000,25.297000000,4.360000000,8.070000000,38.078000000,1025.597000000,1538.510000000,4.330000000
2024-09-04,11:02:52.02,57.507000000,25.271000000,4.540000000,8.070000000,38.086000000,1025.611000000,1538.460000000,4.500000000
2024-09-04,11:02:52.52,57.511000000,25.273000000,4.800000000,8.070000000,38.087000000,1025.613000000,1538.470000000,4.760000000
2024-09-04,11:02:53.02,57.473000000,25.229000000,5.130000000,8.070000000,38.096000000,1025.634000000,1538.380000000,5.090000000
2024-09-04,11:02:53.52,57.472000000,25.234000000,5.210000000,8.070000000,38.090000000,1025.629000000,1538.380000000,5.170000000
2024-09-04,11:02:54.02,57.460000000,25.215000000,5.310000000,8.070000000,38.097000000,1025.641000000,1538.350000000,5.270000000
2024-09-04,11:02:54.52,57.454000000,25.207000000,5.550000000,8.070000000,38.100000000,1025.646000000,1538.340000000,5.510000000
2024-09-04,11:02:55.02,57.439000000,25.186000000,5.870000000,8.070000000,38.106000000,1025.659000000,1538.300000000,5.820000000
2024-09-04,11:02:55.52,57.412000000,25.160000000,6.170000000,8.070000000,38.107000000,1025.669000000,1538.240000000,6.120000000
2024-09-04,11:02:56.02,57.412000000,25.164000000,6.250000000,8.100000000,38.104000000,1025.666000000,1538.250000000,6.200000000
2024-09-04,11:02:56.52,57.413000000,25.164000000,6.260000000,8.100000000,38.105000000,1025.666000000,1538.250000000,6.210000000
2024-09-04,11:02:57.02,57.408000000,25.158000000,6.380000000,8.070000000,38.105000000,1025.669000000,1538.240000000,6.330000000
2024-09-04,11:02:57.52,57.410000000,25.157000000,6.600000000,8.100000000,38.108000000,1025.672000000,1538.250000000,6.550000000
2024-09-04,11:02:58.02,57.380000000,25.115000000,6.760000000,8.100000000,38.121000000,1025.696000000,1538.160000000,6.710000000
2024-09-04,11:02:58.52,57.367000000,25.101000000,6.920000000,8.070000000,38.123000000,1025.702000000,1538.130000000,6.860000000
2024-09-04,11:02:59.02,57.365000000,25.099000000,7.110000000,8.100000000,38.123000000,1025.703000000,1538.130000000,7.050000000
2024-09-04,11:02:59.52,57.367000000,25.104000000,7.280000000,8.070000000,38.120000000,1025.701000000,1538.140000000,7.220000000
2024-09-04,11:03:00.02,57.360000000,25.095000000,7.470000000,8.070000000,38.123000000,1025.706000000,1538.130000000,7.410000000
2024-09-04,11:03:00.52,57.361000000,25.091000000,7.610000000,8.070000000,38.127000000,1025.711000000,1538.130000000,7.550000000
2024-09-04,11:03:01.02,57.354000000,25.082000000,7.760000000,8.100000000,38.129000000,1025.716000000,1538.110000000,7.700000000
2024-09-04,11:03:01.52,57.355000000,25.088000000,8.050000000,8.100000000,38.124000000,1025.712000000,1538.120000000,7.990000000
2024-09-04,11:03:02.02,57.278000000,25.001000000,8.320000000,8.100000000,38.140000000,1025.752000000,1537.940000000,8.250000000
2024-09-04,11:03:02.52,57.263000000,24.982000000,8.450000000,8.100000000,38.145000000,1025.762000000,1537.900000000,8.380000000
2024-09-04,11:03:03.02,57.251000000,24.970000000,8.560000000,8.100000000,38.146000000,1025.767000000,1537.870000000,8.490000000
2024-09-04,11:03:03.52,57.239000000,24.954000000,8.600000000,8.070000000,38.150000000,1025.775000000,1537.840000000,8.530000000
2024-09-04,11:03:04.02,57.245000000,24.968000000,8.750000000,8.100000000,38.143000000,1025.767000000,1537.870000000,8.680000000
2024-09-04,11:03:04.52,57.234000000,24.955000000,8.960000000,8.070000000,38.147000000,1025.774000000,1537.840000000,8.890000000
2024-09-04,11:03:05.02,57.234000000,24.957000000,9.100000000,8.100000000,38.144000000,1025.772000000,1537.850000000,9.030000000
2024-09-04,11:03:05.52,57.220000000,24.945000000,9.230000000,8.070000000,38.144000000,1025.776000000,1537.820000000,9.160000000
2024-09-04,11:03:06.02,57.208000000,24.934000000,9.170000000,8.070000000,38.144000000,1025.779000000,1537.800000000,9.100000000
2024-09-04,11:03:06.52,57.211000000,24.931000000,9.250000000,8.100000000,38.149000000,1025.784000000,1537.790000000,9.180000000
2024-09-04,11:03:07.02,57.127000000,24.845000000,9.520000000,8.100000000,38.159000000,1025.819000000,1537.600000000,9.440000000
2024-09-04,11:03:07.52,57.121000000,24.851000000,9.630000000,8.070000000,38.149000000,1025.810000000,1537.610000000,9.550000000
2024-09-04,11:03:08.02,57.112000000,24.827000000,9.600000000,8.100000000,38.162000000,1025.828000000,1537.570000000,9.520000000
2024-09-04,11:03:08.52,57.067000000,24.770000000,9.500000000,8.100000000,38.177000000,1025.856000000,1537.440000000,9.420000000
2024-09-04,11:03:09.02,57.081000000,24.783000000,9.430000000,8.100000000,38.176000000,1025.851000000,1537.470000000,9.350000000
2024-09-04,11:03:09.52,57.069000000,24.785000000,9.500000000,8.100000000,38.166000000,1025.843000000,1537.470000000,9.420000000
2024-09-04,11:03:10.02,57.066000000,24.778000000,9.550000000,8.100000000,38.169000000,1025.847000000,1537.460000000,9.470000000
2024-09-04,11:03:10.52,57.067000000,24.779000000,9.550000000,8.070000000,38.169000000,1025.847000000,1537.460000000,9.470000000
2024-09-04,11:03:11.02,57.061000000,24.773000000,9.540000000,8.100000000,38.169000000,1025.849000000,1537.440000000,9.460000000
2024-09-04,11:03:11.52,57.057000000,24.762000000,9.500000000,8.100000000,38.176000000,1025.858000000,1537.420000000,9.420000000
2024-09-04,11:03:12.02,57.057000000,24.769000000,9.560000000,8.100000000,38.170000000,1025.851000000,1537.430000000,9.480000000
2024-09-04,11:03:12.52,57.050000000,24.759000000,9.670000000,8.100000000,38.173000000,1025.857000000,1537.420000000,9.590000000
2024-09-04,11:03:13.02,57.041000000,24.752000000,9.680000000,8.100000000,38.172000000,1025.858000000,1537.400000000,9.600000000
2024-09-04,11:03:13.52,57.055000000,24.756000000,9.540000000,8.100000000,38.179000000,1025.862000000,1537.410000000,9.460000000
2024-09-04,11:03:14.02,57.045000000,24.753000000,9.600000000,8.100000000,38.174000000,1025.860000000,1537.400000000,9.520000000
2024-09-04,11:03:14.52,57.020000000,24.736000000,9.760000000,8.100000000,38.170000000,1025.862000000,1537.360000000,9.680000000
2024-09-04,11:03:15.02,57.028000000,24.729000000,9.750000000,8.100000000,38.182000000,1025.873000000,1537.360000000,9.670000000
2024-09-04,11:03:15.52,56.991000000,24.690000000,9.780000000,8.070000000,38.187000000,1025.890000000,1537.270000000,9.700000000
2024-09-04,11:03:16.02,56.972000000,24.669000000,9.860000000,8.100000000,38.191000000,1025.899000000,1537.220000000,9.780000000
2024-09-04,11:03:16.52,56.701000000,24.417000000,10.140000000,8.100000000,38.200000000,1025.984000000,1536.630000000,10.060000000
2024-09-04,11:03:17.02,56.574000000,24.310000000,10.310000000,8.100000000,38.195000000,1026.013000000,1536.360000000,10.230000000
2024-09-04,11:03:17.52,56.582000000,24.316000000,10.330000000,8.070000000,38.195000000,1026.011000000,1536.380000000,10.250000000
2024-09-04,11:03:18.02,56.464000000,24.253000000,10.340000000,8.100000000,38.160000000,1026.004000000,1536.190000000,10.260000000
2024-09-04,11:03:18.52,56.041000000,23.783000000,10.480000000,8.100000000,38.239000000,1026.206000000,1535.120000000,10.400000000
2024-09-04,11:03:19.02,55.444000000,23.153000000,10.760000000,8.070000000,38.323000000,1026.458000000,1533.650000000,10.670000000
2024-09-04,11:03:19.52,55.164000000,22.905000000,11.000000000,8.070000000,38.321000000,1026.530000000,1533.030000000,10.910000000
