# https://cfconventions.org/Data/cf-standard-names/78/build/cf-standard-name-table.html
AltimeterSensor,altimeterCalibration,,
RecPerBin,recordsPerBin,,
AHSFZZ~~,heightAboveBottom,m,
CNDCST~~,conductivity,S/m,
CNTR_~~,counter,,
CPHLPR~~,chlorophyll-a,mg/m^3,
CRAT_~~,conductivityRatio,,
ConductivitySensor,conductivityCalibration,,
DOXYZZ~~,oxygen,,
FluoroWetlabECO_AFL_FL_Sensor,FluoroWetlabECO_AFL_FL_Calibration,,
IRRDUV~~,PAR,"mu*Einstein/s/m^2",
OXYOCPVL01,oxygenVoltage,V,
OxygenSensor,oxygenCalibration,,
PAR_BiosphericalLicorChelseaSensor,PAR_BiosphericalLicorChelseaCalibration,,
POTMCV~~,theta,degree*C,ITS-90
PRESPR~~,pressure,dbar,
PSALST~~,salinity,,PSS-78
PSLTZZ~~,salinity,,PSS-78
PressureSensor,pressureCalibration,,
SIGTEQST~~,sigmaTheta,kg/m^3,
SIGTEQ~~,sigmaTheta,kg/m^3,
ScanNumber,scan,,
TEMPP901,temperature,degree*C,ITS-90
TEMPPR~~,temperature,degree*C,
TEMPS901,temperature,degree*C,ITS-90
TemperatureSensor,temperatureCalibration,,
latitude,latitude,degree*N,
longitude,longitude,degree*E,
measurement_time,timeMeasurement,,
time,time,,
